file,line,routine,op,designator,parent_type,field,bounds
ccib.f90,165,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,SEND_CNT(0:N_MPI_PROCESSES-1),(variable:local),SEND_CNT,0:N_MPI_PROCESSES-1
ccib.f90,197,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,RECV_CNT(0:N_MPI_PROCESSES-1),(variable:local),RECV_CNT,0:N_MPI_PROCESSES-1
ccib.f90,200,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,SDISPL(0:N_MPI_PROCESSES-1),(variable:local),SDISPL,0:N_MPI_PROCESSES-1
ccib.f90,200,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,RDISPL(0:N_MPI_PROCESSES-1),(variable:local),RDISPL,0:N_MPI_PROCESSES-1
ccib.f90,201,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,CNT3_S(0:N_MPI_PROCESSES-1),(variable:local),CNT3_S,0:N_MPI_PROCESSES-1
ccib.f90,201,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,CNT3_R(0:N_MPI_PROCESSES-1),(variable:local),CNT3_R,0:N_MPI_PROCESSES-1
ccib.f90,202,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,DSP3_S(0:N_MPI_PROCESSES-1),(variable:local),DSP3_S,0:N_MPI_PROCESSES-1
ccib.f90,202,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,DSP3_R(0:N_MPI_PROCESSES-1),(variable:local),DSP3_R,0:N_MPI_PROCESSES-1
ccib.f90,211,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,"SEND_NOM(MAX(TOTAL_SEND,1))",(variable:local),SEND_NOM,"MAX(TOTAL_SEND,1)"
ccib.f90,211,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,ALLOCATE,"SEND_POS(MAX(3*TOTAL_SEND,1))",(variable:local),SEND_POS,"MAX(3*TOTAL_SEND,1)"
