file,routine,phase,exchange_routine,kind,chain,via,field,field_type,access,n_refs,first_line,lines
ccib.f90,CC_SCALARS::CC_RHO0W_INTERP,runtime+setup,no,all_meshes,MESHES(NM),direct,N_CUTCELL_MESH,MESH_TYPE,read,1,6995,6995
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,XS,MESH_TYPE,arg,1,7209,7209
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,YS,MESH_TYPE,arg,1,7210,7210
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,ZS,MESH_TYPE,arg,1,7211,7211
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,XF,MESH_TYPE,arg,1,7212,7212
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,YF,MESH_TYPE,arg,1,7213,7213
ccib.f90,CC_SCALARS::CC_SET_DATA,setup,no,all_meshes,MESHES(NM),direct,ZF,MESH_TYPE,arg,1,7214,7214
ccib.f90,CC_SCALARS::FILL_IJKO_INTERP_STENCILS,setup,no,all_meshes,MESHES(NM),direct,N_NEIGHBORING_MESHES,MESH_TYPE,read,1,18955,18955
ccib.f90,CC_SCALARS::FILL_IJKO_INTERP_STENCILS,setup,no,all_meshes,MESHES(NM),direct,NEIGHBORING_MESH,MESH_TYPE,read,1,18956,18956
ccib.f90,CC_SCALARS::FILL_IJKO_INTERP_STENCILS,setup,no,all_meshes,MESHES(NOM),direct,N_NEIGHBORING_MESHES,MESH_TYPE,read,1,18979,18979
ccib.f90,CC_SCALARS::FILL_IJKO_INTERP_STENCILS,setup,no,all_meshes,MESHES(NOM),direct,NEIGHBORING_MESH,MESH_TYPE,read,1,18980,18980
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,CCVAR,MESH_TYPE,read,2,19870,19870;19891
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,FCVAR,MESH_TYPE,read,7,19919,19919;19920;19921;19922;19923;19924;19965
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,CUT_FACE,MESH_TYPE,read,1,19929,19929
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,CUT_FACE,MESH_TYPE,ptr_target,1,19969,19969
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),direct,CONNECTED_MESH,MESH_TYPE,read,6,20027,20027;20029;20123;20153;20211;20213
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),M,(whole),MESH_TYPE,ptr_bind,3,20186,20186;20256;20290
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),M,CCVAR,MESH_TYPE,read,1,20191,20191
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),M,FCVAR,MESH_TYPE,read,2,20261,20261;20295
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,CUT_CELL,MESH_TYPE,read,1,20380,20380
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NOM),direct,CUT_CELL,MESH_TYPE,write_component,1,20382,20382
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,(whole),MESH_TYPE,ptr_bind,1,20393,20393
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,IBAR,MESH_TYPE,read,1,20396,20396
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,JBAR,MESH_TYPE,read,1,20402,20402
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,KBAR,MESH_TYPE,read,1,20408,20408
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,CCVAR,MESH_TYPE,inquiry,1,20413,20413
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,CCVAR,MESH_TYPE,alloc,1,20413,20413
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,CCVAR,MESH_TYPE,arg,1,20415,20415
ccib.f90,CC_SCALARS::FILL_UNKZ_GUARDCELLS,setup,no,all_meshes,MESHES(NM),M,CCVAR,MESH_TYPE,dealloc,1,20416,20416
ccib.f90,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,setup,yes,all_meshes,MESHES(NOM),direct,CFACE,MESH_TYPE,read,3,184,184;253;287
ccib.f90,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,setup,yes,all_meshes,MESHES(NOM),direct,N_CFACE_CELLS_DIM,MESH_TYPE,read,2,256,256;283
ccib.f90,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,setup,yes,all_meshes,MESHES(NOM),direct,CFACE,MESH_TYPE,inquiry,2,281,281;285
ccib.f90,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,setup,yes,all_meshes,MESHES(NOM),direct,N_CFACE_CELLS_DIM,MESH_TYPE,write,1,282,282
ccib.f90,CC_SCALARS::INITIALIZE_BACK_CFACE_EXCHANGE,setup,yes,all_meshes,MESHES(NOM),direct,CFACE,MESH_TYPE,alloc,1,283,283
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,(whole),MESH_TYPE,ptr_bind,1,4171,4171
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CUT_FACE,MESH_TYPE,read,4,4231,4231;4329;4435;4608
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CUT_FACE,MESH_TYPE,write_component,22,4235,4235;4236;4237;4238;4239;4240;4241;4243;4336;4338;4340;4439;4440;4441;4442;4443;4444;4445;4447;4615;4617;4619
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CC_RCEDGE,MESH_TYPE,read,2,4347,4347;4626
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CC_RCEDGE,MESH_TYPE,write_component,6,4354,4354;4356;4358;4633;4635;4637
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CC_IBEDGE,MESH_TYPE,read,2,4364,4364;4643
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NOM),M1,CC_IBEDGE,MESH_TYPE,write_component,6,4371,4371;4373;4375;4650;4652;4654
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NM),direct,CUT_CELL,MESH_TYPE,read,2,4774,4774;4884
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NM),direct,CUT_CELL,MESH_TYPE,write_component,18,4776,4776;4777;4778;4779;4781;4820;4821;4823;4824;4867;4868;4886;4887;4888;4889;4891;4933;4934
ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,yes,all_meshes,MESHES(NM),direct,CUT_FACE,MESH_TYPE,ptr_target,3,4813,4813;4860;4926
dump.f90,DUMP::ASSIGN_FILE_NAMES,setup,no,all_meshes,MESHES(NM),M,(whole),MESH_TYPE,ptr_bind,1,457,457
dump.f90,DUMP::ASSIGN_FILE_NAMES,setup,no,all_meshes,MESHES(NM),M,N_SLCF,MESH_TYPE,read,1,495,495
dump.f90,DUMP::ASSIGN_FILE_NAMES,setup,no,all_meshes,MESHES(NM),M,N_RADF,MESH_TYPE,read,1,509,509
dump.f90,DUMP::ASSIGN_FILE_NAMES,setup,no,all_meshes,MESHES(NM),M,BNDF_DUMP,MESH_TYPE,arg,1,516,516
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,(whole),MESH_TYPE,ptr_bind,3,3086,3086;3092;3783
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,IBAR,MESH_TYPE,read,3,3087,3087;3094;3097
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,JBAR,MESH_TYPE,read,3,3087,3087;3095;3097
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,KBAR,MESH_TYPE,read,3,3087,3087;3096;3097
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,XF,MESH_TYPE,read,1,3099,3099
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,XS,MESH_TYPE,read,1,3099,3099
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,YF,MESH_TYPE,read,1,3100,3100
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,YS,MESH_TYPE,read,1,3100,3100
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,ZF,MESH_TYPE,read,1,3101,3101
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,ZS,MESH_TYPE,read,1,3101,3101
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,N_SLCF,MESH_TYPE,read,2,3784,3784;3786
dump.f90,DUMP::INITIALIZE_DIAGNOSTIC_FILE,setup,no,all_meshes,MESHES(NM),M,SLICE,MESH_TYPE,ptr_target,1,3787,3787
dump.f90,DUMP::WRITE_DIAGNOSTICS,runtime+setup,no,all_meshes,MESHES(NM),M,(whole),MESH_TYPE,ptr_bind,2,4387,4387;4463
