file,line,caller,phase,callee,code_or_args,guard,time_loop_stage,prev_call,next_call
ccib.f90,7975,CC_SCALARS::INIT_CUTCELL_DATA,setup,MESH_CC_EXCHANGE,1,,,CC_VELOCITY_CUTFACES,MESH_CC_EXCHANGE
ccib.f90,7976,CC_SCALARS::INIT_CUTCELL_DATA,setup,MESH_CC_EXCHANGE,4,,,MESH_CC_EXCHANGE,MESH_CC_EXCHANGE
ccib.f90,7977,CC_SCALARS::INIT_CUTCELL_DATA,setup,MESH_CC_EXCHANGE,6,,,MESH_CC_EXCHANGE,CC_H_INTERP
main.f90,3135,FDS::MESH_EXCHANGE,runtime+setup,MESH_CC_EXCHANGE,CODE,CC_IBM,,,MPI_SEND_INIT
main.f90,310,FDS,setup(program body),MESH_EXCHANGE,0,,setup,POST_RECEIVES,EXCHANGE_GEOMETRY_INFO
main.f90,399,FDS,setup(program body),MESH_EXCHANGE,1,,setup,VERBOSE_PRINTOUT,MESH_EXCHANGE
main.f90,400,FDS,setup(program body),MESH_EXCHANGE,4,,setup,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,401,FDS,setup(program body),MESH_EXCHANGE,6,,setup,MESH_EXCHANGE,MATCH_VELOCITY
main.f90,429,FDS,setup(program body),MESH_EXCHANGE,14,,setup,INITIALIZE_LEVEL_SET_FIRESPREAD_1,INITIALIZE_LEVEL_SET_FIRESPREAD_2
main.f90,433,FDS,setup(program body),MESH_EXCHANGE,14,,setup,INITIALIZE_LEVEL_SET_FIRESPREAD_2,INITIALIZE_LEVEL_SET_FIRESPREAD_2
main.f90,510,FDS,setup(program body),MESH_EXCHANGE,2,,setup,WALL_BC,VERBOSE_PRINTOUT
main.f90,790,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,1,LEVEL_SET_MODE/=1,predictor,CC_DENSITY,MESH_EXCHANGE
main.f90,794,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,14,TERRAIN_CASE,predictor,MESH_EXCHANGE,MPI_ALLREDUCE
main.f90,801,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,7,,predictor,MPI_ALLREDUCE,POST_RECEIVES
main.f90,803,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,11,,predictor,POST_RECEIVES,VISCOSITY_BC
main.f90,909,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,3,LEVEL_SET_MODE/=1,predictor,CC_END_STEP,MATCH_VELOCITY
main.f90,959,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,4,LEVEL_SET_MODE/=1,corrector,CC_DENSITY,VISCOSITY_BC
main.f90,991,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,20,NMESHES>1,corrector,MOVE_PARTICLES,PARTICLE_MOMENTUM_TRANSFER
main.f90,1000,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,7,,corrector,PARTICLE_MOMENTUM_TRANSFER,POST_RECEIVES
main.f90,1002,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,11,,corrector,POST_RECEIVES,WALL_BC
main.f90,1014,FDS,runtime(MAIN_LOOP),MESH_EXCHANGE,6,,corrector,WALL_BC,HT3D_TEMPERATURE_EXCHANGE
