kind,file,line,routine,phase,call,variables,mpi_op,datatype,order_dependent,feeds,physics_or_output_only,feeds_src,per_process_presum,notes
mpi_collective,ccib.f90,312,INITIALIZE_BACK_CFACE_EXCHANGE,setup,MPI_ALLREDUCE,N_GLOBAL,SUM,MPI_INTEGER,no (integer SUM is exact),control flag / integer bookkeeping (N_GLOBAL),bookkeeping,ccib.f90:312,,
mpi_collective,ccib.f90,8272,FINISH_CC,setup,MPI_ALLREDUCE,T_CC_USED_MIN,MIN,MPI_DOUBLE_PRECISION,no,CPU timing,output_only,ccib.f90:8272-8274,,
mpi_collective,ccib.f90,8273,FINISH_CC,setup,MPI_ALLREDUCE,T_CC_USED_MAX,MAX,MPI_DOUBLE_PRECISION,no,CPU timing,output_only,ccib.f90:8272-8274,,
mpi_collective,ccib.f90,8274,FINISH_CC,setup,MPI_ALLREDUCE,T_CC_USED_MEA,SUM,MPI_DOUBLE_PRECISION,yes,CPU timing,output_only,ccib.f90:8272-8274,,
mpi_collective,ccib.f90,16466,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,RESMAXV,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16467,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,DIVMNX,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16468,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,DIVVOLMNX,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16470,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,VOLMNX,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16471,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,RESVOLMX,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16472,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,XYZMNX,SUM,MPI_DOUBLE_PRECISION,yes,CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16475,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,IJKRM,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16476,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,IJKMNX,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
