file,line,end_line,routine,phase,kind,operation,direction,range_source,loop_vars,fields_read,fields_written,accumulators,weights,notes
ccib.f90,607,644,GET_H_GUARD_CUTCELL,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",MESHES%CCVAR; OM%H; OM%HS; MESHES%DY; MESHES%DZ; MESHES%X; MESHES%XC; MESHES%DX; MESHES%Y; MESHES%YC; MESHES%Z; MESHES%ZC,,SUM_FLUX,"AREA,AREA_RATIO", | post: 647: H_GHOST = H_INT + (D_INT + D_GHOST) / A_INT * SUM_FLUX
ccib.f90,2332,2355,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DX_OTHER","AREA,DA_OTHER", | post: 2356: H_OTHER  = H_OTHER/DA_OTHER || 2357: DX_OTHER = DX_OTHER/DA_OTHER
ccib.f90,2362,2385,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DX_OTHER","AREA,DA_OTHER", | post: 2386: H_OTHER  = H_OTHER/DA_OTHER || 2387: DX_OTHER = DX_OTHER/DA_OTHER
ccib.f90,2392,2415,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DY_OTHER","AREA,DA_OTHER", | post: 2416: H_OTHER = H_OTHER/DA_OTHER || 2417: DY_OTHER = DY_OTHER/DA_OTHER
ccib.f90,2422,2445,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DY_OTHER","AREA,DA_OTHER", | post: 2446: H_OTHER  = H_OTHER/DA_OTHER || 2447: DY_OTHER = DY_OTHER/DA_OTHER
ccib.f90,2452,2475,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DZ_OTHER","AREA,DA_OTHER", | post: 2476: H_OTHER  = H_OTHER/DA_OTHER || 2477: DZ_OTHER = DZ_OTHER/DA_OTHER
ccib.f90,2482,2505,GET_PRES_CFACE_BCS,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY; OMESH%H; OMESH%HS,,"A_FACE,DA_OTHER,DZ_OTHER","AREA,DA_OTHER", | post: 2506: H_OTHER  = H_OTHER/DA_OTHER || 2507: DZ_OTHER = DZ_OTHER/DA_OTHER
ccib.f90,3258,3272,GET_LINKED_VELOCITIES,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; OM%U_LNK,OM%US,,,
ccib.f90,3274,3288,GET_LINKED_VELOCITIES,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; OM%U_LNK,OM%US,,,
ccib.f90,3290,3304,GET_LINKED_VELOCITIES,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; OM%V_LNK,OM%VS,,,
ccib.f90,3306,3320,GET_LINKED_VELOCITIES,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; OM%V_LNK,OM%VS,,,
ccib.f90,3322,3336,GET_LINKED_VELOCITIES,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; OM%W_LNK,OM%WS,,,
