category,file,line,routine,name_or_count,detail
assumed_shape_dummy_explicit_lb,dump.f90,7205,DUMP::DUMP_SLCF::CORNER_VALUE,A,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7205,DUMP::DUMP_SLCF::CORNER_VALUE,S,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7205,DUMP::DUMP_SLCF::CORNER_VALUE,B,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7278,DUMP::DUMP_SLCF::EDGE_VALUE,S,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7278,DUMP::DUMP_SLCF::EDGE_VALUE,A,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7642,DUMP::DUMP_SLCF_VTK::CORNER_VALUE,S,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7642,DUMP::DUMP_SLCF_VTK::CORNER_VALUE,A,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7642,DUMP::DUMP_SLCF_VTK::CORNER_VALUE,B,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7715,DUMP::DUMP_SLCF_VTK::EDGE_VALUE,A,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,dump.f90,7715,DUMP::DUMP_SLCF_VTK::EDGE_VALUE,S,"(0:,0:,0:)"
assumed_shape_dummy_explicit_lb,func.f90,1110,MATH_FUNCTIONS::INTERPOLATE1D_UNIFORM,X,(LOWER:)
deferred_shape_dummy_keeps_bounds,ccib.f90,403,CC_SCALARS::GET_OPENBC_TANGENTIAL_CUTFACE_VEL,VV,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,403,CC_SCALARS::GET_OPENBC_TANGENTIAL_CUTFACE_VEL,UU,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,403,CC_SCALARS::GET_OPENBC_TANGENTIAL_CUTFACE_VEL,WW,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,455,CC_SCALARS::GET_OPENBC_TANGENTIAL_CUTFACE_VEL::SET_GHOSTFACE_VEL_FREESLIP,VELOC,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,487,CC_SCALARS::GET_OPENBC_TANGENTIAL_CUTFACE_VEL::SET_GHOSTFACE_VEL_WIND,VELOC,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,512,CC_SCALARS::GET_H_GUARD_CUTCELL,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,750,CC_SCALARS::CUTFACE_VELOCITIES,UU,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,750,CC_SCALARS::CUTFACE_VELOCITIES,WW,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,750,CC_SCALARS::CUTFACE_VELOCITIES,VV,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1076,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL_RC,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1076,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL_RC,P,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1076,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL_RC,RHOP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1098,CC_SCALARS::GET_RHSLHS_POISSON_RC,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1098,CC_SCALARS::GET_RHSLHS_POISSON_RC,P,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1098,CC_SCALARS::GET_RHSLHS_POISSON_RC,RHOP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1321,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL,P,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1321,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1321,CC_SCALARS::UNSTRUCTURED_POISSON_RESIDUAL,RHOP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1415,CC_SCALARS::GET_LHS_CUTCELL,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1415,CC_SCALARS::GET_LHS_CUTCELL,P,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1415,CC_SCALARS::GET_LHS_CUTCELL,RHOP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1779,CC_SCALARS::GET_CUTFACE_BAROCLINIC_TORQUE,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1817,CC_SCALARS::GET_RCFACE_BAROCLINIC_TORQUE,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1817,CC_SCALARS::GET_RCFACE_BAROCLINIC_TORQUE,RHOP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1860,CC_SCALARS::COMPUTE_LINKED_CUTFACE_BAROCLINIC,P,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
deferred_shape_dummy_keeps_bounds,ccib.f90,1860,CC_SCALARS::COMPUTE_LINKED_CUTFACE_BAROCLINIC,HP,"(:,:,:) REAL POINTER/ALLOCATABLE: actual bounds kept"
