routine,file,codes,stage,start_line,end_line,process_scope,condition,mesh_fields,omesh_fields,buffers,mpi_calls,purpose,purpose_src
MESH_CC_EXCHANGE,ccib.f90,6,pack_send,3969,3969,both,CODE==6,,,,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:3969
MESH_CC_EXCHANGE,ccib.f90,"0,2,>6",pack_send,3976,3976,both,CODE == 0 .OR. CODE==2 .OR. CODE>6,,,,,early RETURN: the routine does nothing for these codes under this condition,ccib.f90:3976
MESH_CC_EXCHANGE,ccib.f90,3,pack_send,3979,3979,both,CODE == 3 .AND. CALL_FROM_GLMAT_SETUP,,,,,early RETURN: the routine does nothing for these codes under this condition,ccib.f90:3979
MESH_CC_EXCHANGE,ccib.f90,1,pack_send,4179,4201,both,CODE==1 .AND. M3%NICC_S(1)>0,CUT_CELL:r OMESH:rw,ICC_UNKZ_CC_S:r NICC_S:r REAL_SEND_PKG11:w,REAL_SEND_PKG11,,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data",ccib.f90:4179
MESH_CC_EXCHANGE,ccib.f90,1,pack_send,4204,4247,both,CODE==1 .AND. M3%NFCC_S(2)>0,CUT_FACE:rw HS:r KRES:r MU:r MU_DNS:r OMESH:prw RHO:r RHOS:r RHO_0:r RSUM:r TMP:r W:r ZZS:r,IFEP_R_2:r IIO_CC_S:r JJO_CC_S:r KKO_CC_S:r NFCC_S:r NFEP_R:r REAL_SEND_PKG13:w,REAL_SEND_PKG13,,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data",ccib.f90:4204
MESH_CC_EXCHANGE,ccib.f90,5,pack_send,4250,4274,both,CODE==5 .AND. PREDICTOR .AND. M3%NICF_S(1)>0,CUT_CELL:r CUT_FACE:prw OMESH:rw,ICF_UFFB_CF_S:r NICF_S:r REAL_SEND_PKG112:w,REAL_SEND_PKG112,,CC_IBM pressure iteration: gas cut-face FV (REQ112),ccib.f90:4250
MESH_CC_EXCHANGE,ccib.f90,3,pack_send,4278,4304,both,CODE==3 .AND. M3%NICF_S(1)>0,CUT_CELL:r CUT_FACE:prw OMESH:rw,ICF_UFFB_CF_S:r NICF_S:r REAL_SEND_PKG112:w,REAL_SEND_PKG112,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13)",ccib.f90:4278
MESH_CC_EXCHANGE,ccib.f90,3,pack_send,4305,4379,both,CODE==3 .AND. M3%NFCC_S(1)>0,CC_IBEDGE:rw CC_RCEDGE:rw CUT_FACE:rw OMESH:prw US:r VS:r WS:r,AXS_FC_S:r IFEP_R_1:r IFEP_R_3:r IFEP_R_4:r IIO_FC_S:r JJO_FC_S:r KKO_FC_S:r NFCC_S:r NFEP_R:r REAL_SEND_PKG12:w,REAL_SEND_PKG12,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13)",ccib.f90:4305
MESH_CC_EXCHANGE,ccib.f90,4,pack_send,4383,4405,both,CODE==4 .AND. M3%NICC_S(1)>0,CUT_CELL:r OMESH:rw,ICC_UNKZ_CC_S:r NICC_S:r REAL_SEND_PKG11:w,REAL_SEND_PKG11,,CC_IBM CORRECTOR scalars (REQ11),ccib.f90:4383
MESH_CC_EXCHANGE,ccib.f90,4,pack_send,4408,4451,both,CODE==4 .AND. M3%NFCC_S(2)>0,CUT_FACE:rw H:r KRES:r MU:r MU_DNS:r OMESH:prw RHO:r RHOS:r RHO_0:r RSUM:r TMP:r WS:r ZZ:r,IFEP_R_2:r IIO_CC_S:r JJO_CC_S:r KKO_CC_S:r NFCC_S:r NFEP_R:r REAL_SEND_PKG13:w,REAL_SEND_PKG13,,CC_IBM CORRECTOR scalars (REQ11),ccib.f90:4408
