field,parent_type,fortran_type,rank,declared_bounds,decl_file,decl_line,alloc_sites,category,notes
U,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (-1:IBP1,0:JBP1,0:KBP1)",mesh.f90,18,"init.f90:533[-1:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"x-face velocity u^n at forward x face (I+1/2); allocated with extra x ghost (-1:IBP1) init.f90:533; exchanged CODE 6 (PKG3) main.f90:3427 | doc: Velocity component at current time step, \f$u_{ijk}^n\f$"
V,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,-1:JBP1,0:KBP1)",mesh.f90,19,"init.f90:534[0:IBP1,-1:JBP1,0:KBP1]",face_centred_flux,"y-face velocity; extra y ghost (-1:JBP1) init.f90:534; exchanged CODE 6 main.f90:3427 | doc: Velocity component at current time step, \f$v_{ijk}^n\f$"
W,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,-1:KBP1)",mesh.f90,20,"init.f90:535[0:IBP1,0:JBP1,-1:KBP1]",face_centred_flux,"z-face velocity; extra z ghost (-1:KBP1) init.f90:535; exchanged CODE 6 main.f90:3427 | doc: Velocity component at current time step, \f$w_{ijk}^n\f$"
US,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (-1:IBP1,0:JBP1,0:KBP1)",mesh.f90,21,"init.f90:536[-1:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"predicted x-face velocity u*; exchanged CODE 3 (PKG3) main.f90:3425 | doc: Velocity component estimated at next time step, \f$u_{ijk}^*\f$"
VS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,-1:JBP1,0:KBP1)",mesh.f90,22,"init.f90:537[0:IBP1,-1:JBP1,0:KBP1]",face_centred_flux,"predicted y-face velocity; exchanged CODE 3 main.f90:3425 | doc: Velocity component estimated at next time step, \f$v_{ijk}^*\f$"
WS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,-1:KBP1)",mesh.f90,23,"init.f90:538[0:IBP1,0:JBP1,-1:KBP1]",face_centred_flux,"predicted z-face velocity; exchanged CODE 3 main.f90:3425 | doc: Velocity component estimated at next time step, \f$w_{ijk}^*\f$"
DDDT,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,24,"init.f90:559[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,dD/dt cell-centred 0:IBP1 init.f90:559; not in any MESH_EXCHANGE package (main.f90:3301-3482) | doc: \f$(\partial D/\partial t)_{ijk}\f$ where \f$D_{ijk}\f$ is the divergence
D,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,25,"init.f90:560[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"divergence D^n; exchanged CODE 1 (PKG1, with RHOS/ZZS) main.f90:3303 | doc: Divergence at current time step, \f$D_{ijk}^n\f$"
DS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,26,"init.f90:561[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"divergence estimate D*; exchanged CODE 4 (PKG1, with RHO/ZZ) main.f90:3305 | doc: Divergence estimate next time step, \f$D_{ijk}^*\f$"
H,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,27,"init.f90:556[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"pressure head H=p~/rho+|u|^2/2 (cell-centred, 1 ghost layer); exchanged CODE 5 (PKG7, PREDICTOR) main.f90:3354 and CODE 6 (PKG3) main.f90:3427 | doc: \f$ \tilde{p}_{ijk}/\rho_{ijk} + |\mathbf{u}|^2_{ijk}/2 \f$"
HS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,28,"init.f90:557[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"estimated H; exchanged CODE 5 (PKG7, CORRECTOR) main.f90:3356 and CODE 3 (PKG3) main.f90:3425; also reused as integer-flag carrier by GLMAT setup (see main.f90:1822-1828 comments) | doc: H estimated at next time step"
KRES,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,29,"init.f90:558[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"resolved kinetic energy; exchanged CODE 1/4 (PKG1) main.f90:3325 | doc: Resolved kinetic energy, \f$ |\mathbf{u}|^2_{ijk}/2 \f$"
FVX,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,30,"init.f90:543[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"x momentum flux/force term stored at x faces (allocated 0:IBP1 like cell arrays) init.f90:543; exchanged CODE 5 (PKG7) main.f90:3362 | doc: Momentum equation flux terms, \f$ F_{{\rm A},x,ijk}+F_{{\rm B},x,ijk} \f$"
FVY,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,31,"init.f90:544[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"y momentum flux term at y faces init.f90:544; exchanged CODE 5 main.f90:3368 | doc: Momentum equation flux terms, \f$ F_{{\rm A},y,ijk}+F_{{\rm B},y,ijk} \f$"
FVZ,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,32,"init.f90:545[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"z momentum flux term at z faces init.f90:545; exchanged CODE 5 main.f90:3374 | doc: Momentum equation flux terms, \f$ F_{{\rm A},z,ijk}+F_{{\rm B},z,ijk} \f$"
FVX_B,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,33,"init.f90:546[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"doc: Momentum equation flux terms, \f$ F_{{\rm B},x,ijk} \f$"
FVY_B,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,34,"init.f90:547[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"doc: Momentum equation flux terms, \f$ F_{{\rm B},y,ijk} \f$"
FVZ_B,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,35,"init.f90:548[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,"doc: Momentum equation flux terms, \f$ F_{{\rm B},z,ijk} \f$"
FVX_D,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,36,"init.f90:551[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,doc: Particle drag
FVY_D,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,37,"init.f90:552[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,doc: Particle drag
FVZ_D,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,38,"init.f90:553[0:IBP1,0:JBP1,0:KBP1]",face_centred_flux,doc: Particle drag
RHO,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",mesh.f90,39,"init.f90:525[-1:IBP1+1,-1:JBP1+1,-1:KBP1+1]",cell_centred_solution,"2 ghost layers (-1:IBP1+1) for flux limiters init.f90:522-525; exchanged CODE 4 main.f90:3305 | doc: Density (kg/m3) at current time step, \f$ \rho_{ijk}^n \f$"
RHOS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",mesh.f90,40,"init.f90:526[-1:IBP1+1,-1:JBP1+1,-1:KBP1+1]",cell_centred_solution,"2 ghost layers init.f90:526; exchanged CODE 1 main.f90:3303 | doc: Density (kg/m3) at next time step, \f$ \rho_{ijk}^* \f$"
MU,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,41,"init.f90:562[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"exchanged CODE 1/4 (PKG1) main.f90:3324 | doc: Turbulent viscosity (kg/m/s), \f$ \mu_{{\rm t},ijk} \f$"
MU_DNS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,42,"init.f90:563[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: Laminar viscosity (kg/m/s)
TMP,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",mesh.f90,43,"init.f90:524[-1:IBP1+1,-1:JBP1+1,-1:KBP1+1]",cell_centred_solution,"2 ghost layers init.f90:524; NOT in MESH_EXCHANGE packages (main.f90:3322-3331 pack RHO,MU,KRES,D,Q,ZZ only) | doc: Gas temperature, \f$ T_{ijk} \f$ (K)"
Q,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,44,"init.f90:581[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"exchanged CODE 1/4 (PKG1) main.f90:3327 | doc: Heat release rate per unit volume, \f$ \dot{q}_{ijk}''' \f$"
