kind,owner,name,decl,evidence,n_sites,notes
module_array_by_mesh,CC_SCALARS,NUNKZ_LOC,ccib.f90:66,ccib.f90:22969[1:NMESHES] in GET_LINKED_MATRIX_INDEXES_Z,1,
module_array_by_mesh,CC_SCALARS,NUNKZ_TOT,ccib.f90:66,ccib.f90:23097[1:NMESHES] in GET_LINKED_MATRIX_INDEXES_Z,1,
module_array_by_mesh,CC_SCALARS,UNKZ_ILC,ccib.f90:66,ccib.f90:23105[1:NMESHES] in GET_LINKED_MATRIX_INDEXES_Z,1,
module_array_by_mesh,CC_SCALARS,UNKZ_IND,ccib.f90:66,ccib.f90:23107[1:NMESHES] in GET_LINKED_MATRIX_INDEXES_Z,1,
module_array_by_mesh,COMPLEX_GEOMETRY_GRID,FM_PENDING_BLOCK_SCAN,geom.f90:5380,geom.f90:12865[1:NMESHES] in CC_GRID_EXCHANGE_AND_REBLOCK,1,
module_array_by_mesh,FDS,DT_NEW,main.f90:67,main.f90:1334[NMESHES] in MPI_INITIALIZATION_CHORES,1,
module_array_by_mesh,FDS,REAL_BUFFER_10,main.f90:91,"main.f90:1284[10,NMESHES] in MPI_INITIALIZATION_CHORES",1,
module_array_by_mesh,FDS,REAL_BUFFER_20,main.f90:91,"main.f90:1285[20,NMESHES] in MPI_INITIALIZATION_CHORES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,CELL_COUNT,cons.f90:643,read.f90:11592[NMESHES] in READ_OBST,1,
module_array_by_mesh,GLOBAL_CONSTANTS,CELL_COUNT_INTEGERS,cons.f90:643,read.f90:11593[NMESHES] in READ_OBST,1,
module_array_by_mesh,GLOBAL_CONSTANTS,CELL_COUNT_LOGICALS,cons.f90:643,read.f90:11594[NMESHES] in READ_OBST,1,
module_array_by_mesh,GLOBAL_CONSTANTS,CHANGE_TIME_STEP_INDEX,cons.f90:302,read.f90:582[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,EDGE_COUNT,cons.f90:644,read.f90:11596[NMESHES] in READ_OBST,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_BNDF,cons.f90:621,"dump.f90:420[2*N_BNDF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_BNDF_VTK,cons.f90:622,dump.f90:448[NMESHES+1] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_BNDG,cons.f90:621,"dump.f90:425[2*N_BNDF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_CFACE_GEOM,cons.f90:620,dump.f90:423[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_CORE,cons.f90:619,dump.f90:440[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_ISOF,cons.f90:621,"dump.f90:410[N_ISOF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_ISOF2,cons.f90:621,"dump.f90:412[N_ISOF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_OBST_VTK,cons.f90:622,dump.f90:449[NMESHES+1] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_PART,cons.f90:619,dump.f90:438[2*NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_PART_VTK,cons.f90:623,"dump.f90:451[N_LAGRANGIAN_CLASSES,NMESHES+1] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_PL3D,cons.f90:619,dump.f90:407[2*NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_RADF,cons.f90:621,"dump.f90:429[N_RADF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_RESTART,cons.f90:620,dump.f90:442[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_SL3D_VTK,cons.f90:623,"dump.f90:446[MESHES(1)%N_UNIQUE_SLCF,NMESHES+1] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_SLCF,cons.f90:621,"dump.f90:414[3*N_SLCF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_SLCF_GEOM,cons.f90:621,"dump.f90:416[N_SLCF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_SMOKE3D,cons.f90:621,"dump.f90:436[N_SMOKE3D*2,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_SMOKE3D_VTK,cons.f90:622,dump.f90:447[NMESHES+1] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_TERRAIN,cons.f90:619,dump.f90:433[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,FN_XYZ,cons.f90:619,dump.f90:405[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,I_OFFSET,cons.f90:583,main.f90:1301[NMESHES] in MPI_INITIALIZATION_CHORES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_BNDF,cons.f90:612,"dump.f90:421[2*N_BNDF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_BNDG,cons.f90:612,"dump.f90:426[2*N_BNDF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_CFACE_GEOM,cons.f90:610,dump.f90:424[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_CORE,cons.f90:609,dump.f90:441[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_ISOF,cons.f90:612,"dump.f90:411[N_ISOF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_ISOF2,cons.f90:612,"dump.f90:413[N_ISOF,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_PART,cons.f90:609,dump.f90:439[2*NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_PL3D,cons.f90:609,dump.f90:408[2*NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_RADF,cons.f90:613,"dump.f90:430[N_RADF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_RESTART,cons.f90:609,dump.f90:443[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_SLCF,cons.f90:612,"dump.f90:415[3*N_SLCF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_SLCF_GEOM,cons.f90:612,"dump.f90:417[N_SLCF_MAX,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_SMOKE3D,cons.f90:613,"dump.f90:437[N_SMOKE3D*2,NMESHES] in ASSIGN_FILE_NAMES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_TERRAIN,cons.f90:609,dump.f90:434[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,LU_XYZ,cons.f90:609,dump.f90:406[NMESHES] in ASSIGN_FILE_NAMES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,MAX_CELL_ASPECT_RATIO,cons.f90:304,read.f90:584[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,MESH_NAME,cons.f90:543,read.f90:581[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,MPI_COMM_NEIGHBORS,cons.f90:412,main.f90:1366[NMESHES] in MPI_INITIALIZATION_CHORES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,MPI_COMM_NEIGHBORS_ROOT,cons.f90:415,main.f90:1367[NMESHES] in MPI_INITIALIZATION_CHORES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,NCELLS_VTK,cons.f90:634,vtkf.f90:1654[1:2*NMESHES] in WRITE_VTKHDF_GEOM_FILE,1,
module_array_by_mesh,GLOBAL_CONSTANTS,NCONNECTIONS_VTK,cons.f90:634,vtkf.f90:1656[1:2*NMESHES] in WRITE_VTKHDF_GEOM_FILE,1,
module_array_by_mesh,GLOBAL_CONSTANTS,NPOINTS_VTK,cons.f90:634,vtkf.f90:1655[1:2*NMESHES] in WRITE_VTKHDF_GEOM_FILE,1,
module_array_by_mesh,GLOBAL_CONSTANTS,PRESSURE_ERROR_MAX,cons.f90:554,init.f90:2947[NMESHES] in INITIALIZE_GLOBAL_VARIABLES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,PRESSURE_ERROR_MAX_LOC,cons.f90:556,"init.f90:2949[3,NMESHES] in INITIALIZE_GLOBAL_VARIABLES",1,
module_array_by_mesh,GLOBAL_CONSTANTS,PROCESS,cons.f90:405,read.f90:580[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,RADIATION_COMPLETED,cons.f90:501,read.f90:588[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,SETUP_PRESSURE_ZONES_INDEX,cons.f90:303,read.f90:586[NMESHES] in READ_MESH,1,
module_array_by_mesh,GLOBAL_CONSTANTS,VELOCITY_ERROR_MAX,cons.f90:553,init.f90:2954[NMESHES] in INITIALIZE_GLOBAL_VARIABLES,1,
module_array_by_mesh,GLOBAL_CONSTANTS,VELOCITY_ERROR_MAX_LOC,cons.f90:555,"init.f90:2956[3,NMESHES] in INITIALIZE_GLOBAL_VARIABLES",1,
module_array_by_mesh,GLOBMAT_SOLVER,H_RESTORE_MESHES,pres.f90:3200,pres.f90:3267[LOWER_MESH_INDEX:UPPER_MESH_INDEX] in SAVE_HS_FOR_SETUP,1,
module_array_by_mesh,MESH_VARIABLES,MESHES,mesh.f90:356,read.f90:579[NMESHES] in READ_MESH,1,
module_array_by_mesh,OUTPUT_DATA,ENTHALPY_SUM,data.f90:18,init.f90:2938[NMESHES] in INITIALIZE_GLOBAL_VARIABLES,1,
module_array_by_mesh,TRAN,TRANS,func.f90:6636,read.f90:1006[NMESHES] in READ_TRAN,1,
module_array_by_mesh,TYPES,CSVFINFO,type.f90:1531,read.f90:17348[NMESHES] in READ_CSVF,1,
component_array_by_mesh,DEVICE_TYPE,SUBDEVICE_INDEX,devc.f90:93,read.f90:14473[NMESHES] in READ_DEVC,1,
component_array_by_mesh,INITIALIZATION_TYPE,ALREADY_INSERTED,type.f90:1709,read.f90:13347[NMESHES] in READ_INIT,1,
component_array_by_mesh,INITIALIZATION_TYPE,PARTICLE_INSERT_CLOCK,type.f90:1685,read.f90:13343[NMESHES] in READ_INIT,1,
component_array_by_mesh,INITIALIZATION_TYPE,VOLUME_ADJUST,type.f90:1688,read.f90:13187[NMESHES] in READ_INIT,1,
component_array_by_mesh,MESH_COMM_TYPE,LIST,read.f90:836,read.f90:895[NMESHES] in PROC_MESH,1,
component_array_by_mesh,MESH_TYPE,CONNECTED_MESH,mesh.f90:231,main.f90:2079[NMESHES] in INITIALIZE_MESH_EXCHANGE_1,1,
component_array_by_mesh,MESH_TYPE,OMESH,mesh.f90:301,main.f90:2077[NMESHES] in INITIALIZE_MESH_EXCHANGE_1,1,
component_array_by_mesh,SURFACE_TYPE,PARTICLE_INSERT_CLOCK,type.f90:933,read.f90:8670[NMESHES] in READ_SURF,1,
component_array_by_mesh,ZONE_SOLVE_TYPE,NUNKH_LOC,type.f90:1809,pres.f90:5731[LOWER_MESH_INDEX:UPPER_MESH_INDEX] in GET_MATRIX_INDEXES_H,1,
component_array_by_mesh,ZONE_SOLVE_TYPE,UNKH_IND,type.f90:1810,pres.f90:5734[LOWER_MESH_INDEX:UPPER_MESH_INDEX] in GET_MATRIX_INDEXES_H,1,
component_stores_mesh_id,BOUNDARY_ONE_D_TYPE,BACK_MESH,type.f90:226,dims=scalar,,Mesh number on back side of obstruction or exterior wall cell
component_stores_mesh_id,CONTROL_TYPE,MESH,devc.f90:175,dims=scalar,,Mesh location of the control function
component_stores_mesh_id,DEVICE_TYPE,LOWEST_MESH,devc.f90:92,dims=scalar,,
component_stores_mesh_id,DEVICE_TYPE,MESH,devc.f90:87,dims=scalar,,
component_stores_mesh_id,DUCT_HT_SEGMENT_TYPE,MESH_INDEX,type.f90:2039,dims=scalar,,Mesh location of segment
component_stores_mesh_id,EDGE_TYPE,NOM_1,type.f90:2197,dims=scalar,,"Number of Other Mesh, first direction"
component_stores_mesh_id,EDGE_TYPE,NOM_2,type.f90:2201,dims=scalar,,"Number of Other Mesh, second direction"
component_stores_mesh_id,EXTERNAL_WALL_TYPE,NOM,type.f90:463,dims=scalar,,Number of the adjacent (Other) Mesh
component_stores_mesh_id,HT_SEGMENT_TRANSFER_TYPE,MESH_INDEX,type.f90:2072,dims=scalar,,Mesh location of segment
