case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Verification/Adaptive_Mesh_Refinement/ns2d_16_emb_1to1_refinement.fds,2,0,embedded_or_overlapping,,,0.001,1,"1 overlapping/embedded mesh pair(s), e.g. 1/2 (ratio 1x1x1)"
Verification/Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,2,0,embedded_or_overlapping,,,0.001,1,"1 overlapping/embedded mesh pair(s), e.g. 1/2 (ratio 2x1x2)"
Verification/Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,13,20,supported_2_4,2,uniform=12 supported_2_4=8,0.001,0,
Verification/Adaptive_Mesh_Refinement/random_meshes.fds,5,1,uniform,1,uniform=1,0.001,8,"8 overlapping/embedded mesh pair(s), e.g. 1/3 (ratio 1x1x1), 1/2 (ratio 2x1x2), 1/4 (ratio 1x1x1)"
Verification/Aerosols/aerosol_agglomeration.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_agglomeration_2.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_gravitational_deposition.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_gravitational_deposition_2.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_scrubbing.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_thermophoretic_deposition.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_thermophoretic_deposition_2.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/aerosol_turbulent_deposition.fds,3,0,no_shared_faces,,,5e-05,0,
Verification/Aerosols/propane_flame_deposition.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/propane_flame_deposition_gravitational.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/propane_flame_deposition_none.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/propane_flame_deposition_thermophoretic.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/propane_flame_deposition_turbulent.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/soot_oxidation_wall.fds,1,0,single_mesh,,,,0,
Verification/Aerosols/sphere_propane_deposition.fds,1,0,single_mesh,,,,0,
Verification/Atmospheric_Effects/MO_velocity_profile_stable.fds,1,0,single_mesh,,,,0,TRN stretching in Z on 1 of 1 mesh(es)
Verification/Atmospheric_Effects/MO_velocity_profile_unstable.fds,1,0,single_mesh,,,,0,TRN stretching in Z on 1 of 1 mesh(es)
Verification/Atmospheric_Effects/atmospheric_boundary_layer_1.fds,16,28,uniform,1,uniform=28,0.001,0,
Verification/Atmospheric_Effects/atmospheric_boundary_layer_2.fds,16,28,uniform,1,uniform=28,0.001,0,
Verification/Atmospheric_Effects/atmospheric_boundary_layer_3.fds,16,28,uniform,1,uniform=28,0.001,0,
Verification/Atmospheric_Effects/atmospheric_boundary_layer_4.fds,16,28,uniform,1,uniform=28,0.001,0,
Verification/Atmospheric_Effects/lapse_rate.fds,4,3,uniform,1,uniform=3,0.001,0,
Verification/Atmospheric_Effects/lee_waves.fds,1,0,single_mesh,,,,0,
