module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
CC_SCALARS,IHI_CELL,ccib.f90,53,runtime_scalar,GET_CC_MATRIXGRAPH_H(ccib.f90:20889); GET_H_MATRIX_CC(ccib.f90:20570); GET_RCFACES_H(ccib.f90:21581); GET_CRTCFCC_INT_STENCILS(ccib.f90:16743); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21969),GET_CRTCFCC_INT_STENCILS(ccib.f90:16766); GET_INTSTENCILS_EP(ccib.f90:18668); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21994); GET_RCFACES_H(ccib.f90:21709),yes,"written at run time by mesh kernels: GET_CC_MATRIXGRAPH_H, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,5,3,6,
CC_SCALARS,IHI_FACE,ccib.f90,54,runtime_scalar,GET_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:13650); GET_CC_MATRIXGRAPH_H(ccib.f90:20887); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:12152); GET_H_MATRIX_CC(ccib.f90:20568); GET_RCFACES_H(ccib.f90:21579); FILL_UNKZ_GUARDCELLS(ccib.f90:20396); GET_CRTCFCC_INT_STENCILS(ccib.f90:16741); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21967),FILL_UNKZ_GUARDCELLS(ccib.f90:20398); GET_CC_MATRIXGRAPH_H(ccib.f90:20889); GET_CRTCFCC_INT_STENCILS(ccib.f90:16743); GET_INTSTENCILS_EP(ccib.f90:18673); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21969),yes,"written at run time by mesh kernels: GET_ADVDIFFVECTOR_SCALAR_3D, GET_CC_MATRIXGRAPH_H, GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,8,5,9,
CC_SCALARS,ILO_CELL,ccib.f90,53,runtime_scalar,GET_CC_MATRIXGRAPH_H(ccib.f90:20888); GET_H_MATRIX_CC(ccib.f90:20569); GET_RCFACES_H(ccib.f90:21580); GET_CRTCFCC_INT_STENCILS(ccib.f90:16742); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21968),GET_CRTCFCC_INT_STENCILS(ccib.f90:16766); GET_INTSTENCILS_EP(ccib.f90:18668); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21994); GET_RCFACES_H(ccib.f90:21709),yes,"written at run time by mesh kernels: GET_CC_MATRIXGRAPH_H, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,5,3,6,
CC_SCALARS,ILO_FACE,ccib.f90,54,runtime_scalar,GET_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:13649); GET_CC_MATRIXGRAPH_H(ccib.f90:20886); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:12151); GET_H_MATRIX_CC(ccib.f90:20567); GET_RCFACES_H(ccib.f90:21578); FILL_UNKZ_GUARDCELLS(ccib.f90:20395); GET_CRTCFCC_INT_STENCILS(ccib.f90:16740); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21966),FILL_UNKZ_GUARDCELLS(ccib.f90:20397); GET_CC_MATRIXGRAPH_H(ccib.f90:20888); GET_CRTCFCC_INT_STENCILS(ccib.f90:16742); GET_INTSTENCILS_EP(ccib.f90:18673); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21968),yes,"written at run time by mesh kernels: GET_ADVDIFFVECTOR_SCALAR_3D, GET_CC_MATRIXGRAPH_H, GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,8,5,9,
CC_SCALARS,JHI_CELL,ccib.f90,53,runtime_scalar,GET_CC_MATRIXGRAPH_H(ccib.f90:20895); GET_H_MATRIX_CC(ccib.f90:20575); GET_RCFACES_H(ccib.f90:21589); GET_CRTCFCC_INT_STENCILS(ccib.f90:16751); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21978),GET_CRTCFCC_INT_STENCILS(ccib.f90:16790); GET_INTSTENCILS_EP(ccib.f90:18669); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21998); GET_RCFACES_H(ccib.f90:21713),yes,"written at run time by mesh kernels: GET_CC_MATRIXGRAPH_H, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,5,3,6,
CC_SCALARS,JHI_FACE,ccib.f90,54,runtime_scalar,GET_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:13654); GET_CC_MATRIXGRAPH_H(ccib.f90:20893); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:12156); GET_H_MATRIX_CC(ccib.f90:20573); GET_RCFACES_H(ccib.f90:21587); FILL_UNKZ_GUARDCELLS(ccib.f90:20402); GET_CRTCFCC_INT_STENCILS(ccib.f90:16749); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21976),FILL_UNKZ_GUARDCELLS(ccib.f90:20404); GET_CC_MATRIXGRAPH_H(ccib.f90:20895); GET_CRTCFCC_INT_STENCILS(ccib.f90:16751); GET_INTSTENCILS_EP(ccib.f90:18675); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21978),yes,"written at run time by mesh kernels: GET_ADVDIFFVECTOR_SCALAR_3D, GET_CC_MATRIXGRAPH_H, GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,8,5,9,
CC_SCALARS,JLO_CELL,ccib.f90,53,runtime_scalar,GET_CC_MATRIXGRAPH_H(ccib.f90:20894); GET_H_MATRIX_CC(ccib.f90:20574); GET_RCFACES_H(ccib.f90:21588); GET_CRTCFCC_INT_STENCILS(ccib.f90:16750); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21977),GET_CRTCFCC_INT_STENCILS(ccib.f90:16790); GET_INTSTENCILS_EP(ccib.f90:18669); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21998); GET_RCFACES_H(ccib.f90:21713),yes,"written at run time by mesh kernels: GET_CC_MATRIXGRAPH_H, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,5,3,6,
CC_SCALARS,JLO_FACE,ccib.f90,54,runtime_scalar,GET_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:13653); GET_CC_MATRIXGRAPH_H(ccib.f90:20892); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:12155); GET_H_MATRIX_CC(ccib.f90:20572); GET_RCFACES_H(ccib.f90:21586); FILL_UNKZ_GUARDCELLS(ccib.f90:20401); GET_CRTCFCC_INT_STENCILS(ccib.f90:16748); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21975),FILL_UNKZ_GUARDCELLS(ccib.f90:20403); GET_CC_MATRIXGRAPH_H(ccib.f90:20894); GET_CRTCFCC_INT_STENCILS(ccib.f90:16750); GET_INTSTENCILS_EP(ccib.f90:18675); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21977),yes,"written at run time by mesh kernels: GET_ADVDIFFVECTOR_SCALAR_3D, GET_CC_MATRIXGRAPH_H, GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,8,5,9,
CC_SCALARS,KHI_CELL,ccib.f90,53,runtime_scalar,GET_CC_MATRIXGRAPH_H(ccib.f90:20901); GET_H_MATRIX_CC(ccib.f90:20580); GET_RCFACES_H(ccib.f90:21597); GET_CRTCFCC_INT_STENCILS(ccib.f90:16759); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21986),GET_CRTCFCC_INT_STENCILS(ccib.f90:16814); GET_INTSTENCILS_EP(ccib.f90:18670); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:22002); GET_RCFACES_H(ccib.f90:21717),yes,"written at run time by mesh kernels: GET_CC_MATRIXGRAPH_H, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,5,3,6,
CC_SCALARS,KHI_FACE,ccib.f90,54,runtime_scalar,GET_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:13658); GET_CC_MATRIXGRAPH_H(ccib.f90:20899); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90:12160); GET_H_MATRIX_CC(ccib.f90:20578); GET_RCFACES_H(ccib.f90:21595); FILL_UNKZ_GUARDCELLS(ccib.f90:20408); GET_CRTCFCC_INT_STENCILS(ccib.f90:16757); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21984),FILL_UNKZ_GUARDCELLS(ccib.f90:20410); GET_CC_MATRIXGRAPH_H(ccib.f90:20901); GET_CRTCFCC_INT_STENCILS(ccib.f90:16759); GET_INTSTENCILS_EP(ccib.f90:18677); GET_GASPHASE_REGRCFACES_DATA(ccib.f90:21986),yes,"written at run time by mesh kernels: GET_ADVDIFFVECTOR_SCALAR_3D, GET_CC_MATRIXGRAPH_H, GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D, GET_H_MATRIX_CC, GET_RCFACES_H",INTEGER,,8,5,9,
