pointer,decl,fortran_type,rank,remap_line,target,target_decl,target_alloc_bounds,category,n_routines_using,n_runtime_routines,sample_routines,notes
U,mesh.f90:368,REAL(EB),3,mesh.f90:513,M%U,mesh.f90:18,"deferred(:,:,:); allocated as (-1:IBP1,0:JBP1,0:KBP1)",face_centred_flux,67,57,GAS_PHASE_OUTPUT(dump.f90); CALC_AGGLOMERATION(soot.f90); GET_LINKED_VELOCITIES(ccib.f90); INITIAL_NOISE(init.f90); LEVEL_SET_FIRESPREAD(vege.f90); CC_PROJECT_VELOCITY(ccib.f90),
V,mesh.f90:368,REAL(EB),3,mesh.f90:514,M%V,mesh.f90:19,"deferred(:,:,:); allocated as (0:IBP1,-1:JBP1,0:KBP1)",face_centred_flux,62,53,GAS_PHASE_OUTPUT(dump.f90); CALC_AGGLOMERATION(soot.f90); GET_LINKED_VELOCITIES(ccib.f90); INITIAL_NOISE(init.f90); LEVEL_SET_FIRESPREAD(vege.f90); CC_PROJECT_VELOCITY(ccib.f90),
W,mesh.f90:368,REAL(EB),3,mesh.f90:515,M%W,mesh.f90:20,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,-1:KBP1)",face_centred_flux,66,56,GAS_PHASE_OUTPUT(dump.f90); CALC_AGGLOMERATION(soot.f90); GET_LINKED_VELOCITIES(ccib.f90); INITIAL_NOISE(init.f90); CC_PROJECT_VELOCITY(ccib.f90); CC_RESTORE_UVW_UNLINKED(ccib.f90),
US,mesh.f90:368,REAL(EB),3,mesh.f90:516,M%US,mesh.f90:21,"deferred(:,:,:); allocated as (-1:IBP1,0:JBP1,0:KBP1)",face_centred_flux,50,44,GET_LINKED_VELOCITIES(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); COMPRESSION_WAVE(turb.f90); WALL_VELOCITY_NO_GRADH(velo.f90); GAS_PHASE_OUTPUT(dump.f90); NO_FLUX(velo.f90),
VS,mesh.f90:368,REAL(EB),3,mesh.f90:517,M%VS,mesh.f90:22,"deferred(:,:,:); allocated as (0:IBP1,-1:JBP1,0:KBP1)",face_centred_flux,46,42,GET_LINKED_VELOCITIES(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); WALL_VELOCITY_NO_GRADH(velo.f90); GAS_PHASE_OUTPUT(dump.f90); NO_FLUX(velo.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90),
WS,mesh.f90:368,REAL(EB),3,mesh.f90:518,M%WS,mesh.f90:23,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,-1:KBP1)",face_centred_flux,50,44,GET_LINKED_VELOCITIES(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); COMPRESSION_WAVE(turb.f90); WALL_VELOCITY_NO_GRADH(velo.f90); GAS_PHASE_OUTPUT(dump.f90); NO_FLUX(velo.f90),
DDDT,mesh.f90:368,REAL(EB),3,mesh.f90:519,M%DDDT,mesh.f90:24,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,6,6,PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); DIVERGENCE_PART_2(divg.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); GET_RHSLHS_POISSON_RC(ccib.f90); POINT_TO_MESH(mesh.f90),
D,mesh.f90:368,REAL(EB),3,mesh.f90:520,M%D,mesh.f90:25,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,16,14,COMPRESSION_WAVE(turb.f90); INIT_CUTCELL_DATA(ccib.f90); FILL_GCCUTCELL_SPECIES(ccib.f90); CC_DIVERGENCE_PART_1(ccib.f90); CC_CHECK_DIVERGENCE(ccib.f90); DIVERGENCE_PART_1(divg.f90),
DS,mesh.f90:368,REAL(EB),3,mesh.f90:521,M%DS,mesh.f90:26,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,16,15,GAS_PHASE_OUTPUT(dump.f90); CHECK_STABILITY(velo.f90); COMPRESSION_WAVE(turb.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); FILL_GCCUTCELL_SPECIES(ccib.f90); CC_DIVERGENCE_PART_1(ccib.f90),
H,mesh.f90:368,REAL(EB),3,mesh.f90:522,M%H,mesh.f90:27,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,33,30,CC_PROJECT_VELOCITY(ccib.f90); CC_COMPUTE_VELOCITY_ERROR(ccib.f90); COMPUTE_VELOCITY_ERROR(pres.f90); SOLID_PHASE_OUTPUT(dump.f90); COPY_H_OMESH_TO_MESH(pres.f90); VELOCITY_PREDICTOR(velo.f90),
