field,parent_type,file,routine,access,via,n_refs,first_line,lines,callee,arg_evidence
BXF,MESH_TYPE,ccib.f90,CC_SCALARS::GET_FH_FROM_PRHS_AND_BCS,read,ptr,2,2158,2158;2199,,
BXF,MESH_TYPE,ccib.f90,CC_SCALARS::GET_PRES_CFACE_BCS,write,ptr,2,2389,2389;2559,,
BXF,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,alloc,M,1,2449,2449,,
BXF,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,write,M,1,2460,2460,,
BXF,MESH_TYPE,mesh.f90,MESH_POINTERS::POINT_TO_MESH,ptr_target,M,1,593,593,,
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_COMPUTE_RHS,write,ptr,5,83,83;106;128;194;196,,
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,2,346,346;354,H3CZSS,H3CZSS(BDXF): no INTENT; body-read-only pois.f90:200
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,4,348,348;365;375;386,H2CZSS,H2CZSS(BDXF): no INTENT; body-read-only pois.f90:6787
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,1,349,349,H2CYSS,H2CYSS(BDRF): no INTENT; body-read-only pois.f90:7289
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,read,ptr,6,358,358;372;379;442;453;455,,
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,1,368,368,H3CSSS,H3CSSS(BDRF): no INTENT; body-read-only pois.f90:4915
BXF,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,write,ptr,1,442,442,,
BXF,MESH_TYPE,pres.f90,PRES::TUNNEL_POISSON_SOLVER,read,M,3,586,586;594;605,,
BXF,MESH_TYPE,pres.f90,PRES::TUNNEL_POISSON_SOLVER,write,M,1,605,605,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,inquiry,M,1,1281,1281,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,dealloc,M,1,1281,1281,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,alloc,M,1,1291,1291,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,write,M,1,1299,1299,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVE_ZONE,read,ptr,5,1617,1617;1654;1927;1944;1980,,
BXF,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVE_ZONE,write,ptr,1,1927,1927,,
BXF,MESH_TYPE,pres.f90,GLOBMAT_SOLVER::GLMAT_SOLVER,read,ptr,2,3598,3598;3636,,
BXS,MESH_TYPE,ccib.f90,CC_SCALARS::GET_FH_FROM_PRHS_AND_BCS,read,ptr,2,2161,2161;2202,,
BXS,MESH_TYPE,ccib.f90,CC_SCALARS::GET_PRES_CFACE_BCS,write,ptr,2,2359,2359;2552,,
BXS,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,alloc,M,1,2448,2448,,
BXS,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,write,M,1,2459,2459,,
