run_name,case,variant,group,tier,binary,ranks,threads,est_wall_s,wall_time_s,fds_elapsed_s,exit_status,timed_out,stop_ok,timeout_s,load_at_start,busy_cores_at_start,free_ram_gb,avail_ram_gb,preflight_wait_s,start_time,run_dir
ns2d_16,NS_Analytical_Solution/ns2d_16.fds,as committed,G0,G0,rel,1,1,,0.91,0.681,0,False,yes,600,0.86 2.04 2.06,1.31,2.2,5.66,3.0,2026-09-25T18:18:21-04:00,vv-runs/g0/gnu_ompi_firex-36975d7/ns2d_16
obst_activation_default,Pressure_Solver/obst_activation_default.fds,as committed,G0,G0,rel,4,1,,0.7,0.47,0,False,yes,600,0.95 2.04 2.06,1.25,2.18,5.63,3.0,2026-09-25T18:18:25-04:00,vv-runs/g0/gnu_ompi_firex-36975d7/obst_activation_default
ns2d_16_int_1to2_refinement,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,as committed,A-09,T1,rel,1,1,31,90.86,90.635,0,False,yes,900,1.23 2.05 2.07,2.57,2.19,5.66,3.0,2026-09-25T18:18:41-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_int_1to2_refinement
ns2d_16_int_1to2_refinement_uglmat,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,derived VV/ns2d_16_int_1to2_refinement_uglmat,A-09,T1,rel,1,1,9,29.66,29.43,0,False,yes,600,1.74 2.03 2.06,0.28,2.08,5.67,3.0,2026-09-25T18:20:15-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_int_1to2_refinement_uglmat
ns2d_16_int_1to2_refinement__sf17,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,SIG_FIGS=17 copy,A-09,T1,rel,1,1,31,93.72,93.482,0,False,yes,900,1.62 1.97 2.04,0.31,2.21,5.83,3.0,2026-09-25T18:20:47-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_int_1to2_refinement__sf17
ns2d_16_int_1to2_refinement_uglmat__sf17,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,derived uglmat + SIG_FIGS=17,A-09,T1,rel,1,1,9,30.45,30.222,0,False,yes,600,1.57 1.82 1.97,0.44,1.37,5.49,3.0,2026-09-25T18:22:24-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_int_1to2_refinement_uglmat__sf17
ns2d_16_int_1to2_refinement_uglmat__sf17_rep2,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,"derived uglmat + SIG_FIGS=17, determinism repeat #2",A-09/determinism,T1,rel,1,1,9,30.03,29.793,0,False,yes,600,1.94 1.88 1.99,4.21,1.07,5.72,3.0,2026-09-25T18:22:58-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_int_1to2_refinement_uglmat__sf17_rep2
ns2d_16_emb_1to2_refinement,Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,as committed,A-09,T1,rel,2,1,17,14.82,14.592,0,False,yes,600,1.60 1.84 1.97,0.11,0.92,5.82,36.0,2026-09-25T18:24:04-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_emb_1to2_refinement
ns2d_16_emb_1to2_refinement__sf17,Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,SIG_FIGS=17 copy,A-09,T1,rel,2,1,17,14.73,14.491,0,False,yes,600,1.74 1.85 1.97,1.2,0.88,5.81,3.0,2026-09-25T18:24:22-04:00,vv-runs/baseline/gnu_ompi_firex-36975d7/ns2d_16_emb_1to2_refinement__sf17
ns2d_16_emb_1to1_refinement,Adaptive_Mesh_Refinement/ns2d_16_emb_1to1_refinement.fds,as committed,A-09,T2,rel,2,1,8,3.92,3.691,0,False,yes,600,2.04 1.94 2.00,0.2,0.69,5.62,36.0,2026-09-25T18:25:12-04:00,vv-runs/a09/gnu_ompi_firex-36975d7/ns2d_16_emb_1to1_refinement
