path,chid,cls,reason,flags,GEOM,CC_IBM,HT3D,VARIABLE_THICKNESS,THIN_OBST,thin_zero,thin_subcell,thin_hole0,thicken,thin_multimesh,thin_at_res_change,thin_changes_with_refinement,HVAC,hvac_records,hvac_multimesh,hvac_at_res_change,ZONE,zone_explicit_records,zone_auto,auto_zones,zone_sealed_fraction,sealed_domain_single_zone,zone_opening,zone_leak,zone_multimesh,zone_leak_multimesh,LEVEL_SET,level_set_mode,level_set_multimesh,n_mesh,cells,mesh_union_box_fill,nonbox_domain,n_res,twod,multi_mesh,mesh_shared_faces,multi_res,overlap_pairs,ratio_worst_class,max_ratio,stretched,HYPRE_DEVICE_RUN,solver,restart,restart_producer,particles,cylindrical,tunnel_preconditioner,missing_files,store_species_flux,t_end,mpi_process_ranks,firebot,firebot_ranks,fits_box,tier,tolerance_class,tier_source,gate,needs_remesh,in_184_inventory,inv_tier,notes
Adaptive_Mesh_Refinement/ns2d_16_emb_1to1_refinement.fds,ns2d_16_emb_1to1_refinement,OUT,"embedded/overlapping meshes: FDS-baseline-only (decision in force, D-015/test-plan §6)",MULTI_MESH OVERLAP,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,periodic (not evaluated),0,0.0,0,0,,0,0,0,,0,2,320,1.25,0,1,1,1,0,0,1,embedded_or_overlapping,,0,,,0,,0,0,0,,0,30.0,,commented,2,1,,,,,no,yes,T2,
Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,ns2d_16_emb_1to2_refinement,OUT,"embedded/overlapping meshes: FDS-baseline-only (decision in force, D-015/test-plan §6)",MULTI_MESH MULTI_RES OVERLAP,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,periodic (not evaluated),0,0.0,0,0,,0,0,0,,0,2,512,1.25,0,2,1,1,0,1,1,embedded_or_overlapping,,0,,,0,,0,0,0,,0,30.0,,commented,2,1,,,,,no,yes,T1,
Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,ns2d_16_int_1to2_refinement,IN,all features in scope,MULTI_MESH MULTI_RES,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,periodic (not evaluated),0,0.0,0,0,,0,0,0,,0,13,448,1.0,0,2,1,1,20,1,0,supported_2_4,2,0,,,0,,0,0,0,,0,30.0,,commented,13,1,T1,"T1 (FR-001 style, same solver) / T2 vs baseline error; FR-016(a) T0 ghost fill (unit); T3 vs ns2d_32",184-inventory,"completes (normal exit, no NaN/trap); tier T1 gate, tclass as inventory",no,yes,T1,
Adaptive_Mesh_Refinement/random_meshes.fds,random_meshes,OUT,"embedded/overlapping meshes: FDS-baseline-only (decision in force, D-015/test-plan §6)",MULTI_MESH MULTI_RES OVERLAP,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,none,0,0.0,0,0,,0,0,0,,0,5,1600,1.092,0,2,1,1,1,1,8,uniform,1,0,,,0,,0,0,0,,0,300.0,4,yes,4,1,,,,,no,yes,T1,
Aerosols/aerosol_agglomeration.fds,aerosol_agglomeration,IN,all features in scope,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,1000,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,0,0,0,,0,60.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
Aerosols/aerosol_agglomeration_2.fds,aerosol_agglomeration_2,IN,all features in scope,HVAC,0,,0,0,0,0,0,0,,0,0,0,1,9,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,1000,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,0,0,0,,0,60.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
Aerosols/aerosol_gravitational_deposition.fds,aerosol_gravitational_deposition,IN,all features in scope,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,1000,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,0,0,0,,0,1.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02; Relative Error|end|0.03),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
Aerosols/aerosol_gravitational_deposition_2.fds,aerosol_gravitational_deposition_2,IN,all features in scope,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,1000,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,0,0,0,,0,1.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02; Relative Error|end|0.03),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
Aerosols/aerosol_scrubbing.fds,aerosol_scrubbing,IN,all features in scope,PARTICLES,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,64,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,1,0,0,,0,5000.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
Aerosols/aerosol_thermophoretic_deposition.fds,aerosol_thermophoretic_deposition,IN,all features in scope,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,sealed,1,1.0,1,0,,0,0,0,,0,1,1000,1.0,0,1,0,0,0,0,0,single_mesh,,0,,,0,,0,0,0,,0,2.0,,yes,1,1,G4,T2 (Verification-Guide dataplot: Relative Error|end|0.02),proposed,"completes (normal exit, no NaN/trap); T2",no,no,,
