case,group,chid,n_mesh,cells,n_resolutions,dx,twod,stretched,t_end,solver,mpi_process,restart,reac,part,n_obst,n_devc,mass_file,firebot_ranks,firebot_listed,dataplot_n,dataplot_metric,dataplot_quantity,dataplot_tol,dataplot_expected
Adaptive_Mesh_Refinement/ns2d_16_emb_1to1_refinement.fds,Adaptive_Mesh_Refinement,ns2d_16_emb_1to1_refinement,2,320,1,0.392699x0.1x0.392699,True,False,30.0,,False,False,False,False,0,3,False,2,commented,0,,,,
Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,Adaptive_Mesh_Refinement,ns2d_16_emb_1to2_refinement,2,512,2,0.19635x0.1x0.19635;0.392699x0.1x0.392699,True,False,30.0,,False,False,False,False,0,3,False,2,commented,0,,,,
Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,Adaptive_Mesh_Refinement,ns2d_16_int_1to2_refinement,13,448,2,0.19635x0.1x0.19635;0.392699x0.1x0.392699,True,False,30.0,,False,False,False,False,0,3,False,13,commented,0,,,,
Adaptive_Mesh_Refinement/random_meshes.fds,Adaptive_Mesh_Refinement,random_meshes,5,1600,2,0.05x0.2x0.05;0.1x0.2x0.1,True,False,300.,,True,False,False,False,0,1,False,4,yes,1,end,Relative Error,0.02,Adaptive_Mesh_Refinement/random_meshes.csv
Aerosols/aerosol_agglomeration.fds,Aerosols,aerosol_agglomeration,1,1000,1,0.001x0.001x0.001,False,False,60.,,False,False,False,False,0,3,False,1,yes,2,end,Relative Error,0.02,Aerosols/aerosol_agglomeration.csv
Aerosols/aerosol_agglomeration_2.fds,Aerosols,aerosol_agglomeration_2,1,1000,1,0.001x0.001x0.001,False,False,60.,,False,False,False,False,0,4,False,1,yes,2,end,Relative Error,0.02,Aerosols/aerosol_agglomeration_2.csv
Aerosols/aerosol_gravitational_deposition.fds,Aerosols,aerosol_gravitational_deposition,1,1000,1,0.001x0.001x0.001,False,False,1.,,False,False,False,False,0,4,False,1,yes,2,end,Relative Error,0.02;0.03,Aerosols/aerosol_gravitational_deposition.csv
Aerosols/aerosol_gravitational_deposition_2.fds,Aerosols,aerosol_gravitational_deposition_2,1,1000,1,0.001x0.001x0.001,False,False,1.,,False,False,False,False,0,4,False,1,yes,2,end,Relative Error,0.02;0.03,Aerosols/aerosol_gravitational_deposition_2.csv
Aerosols/aerosol_scrubbing.fds,Aerosols,aerosol_scrubbing,1,64,1,0.1x0.1x0.1,False,False,5000.,,False,False,False,True,0,1,False,1,yes,1,end,Relative Error,0.02,Aerosols/aerosol_scrubbing.csv
Aerosols/aerosol_thermophoretic_deposition.fds,Aerosols,aerosol_thermophoretic_deposition,1,1000,1,0.001x0.001x0.001,False,False,2.,,False,False,False,False,0,2,False,1,yes,2,end,Relative Error,0.02,Aerosols/aerosol_thermophoretic_deposition.csv
